Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.122481,0.120847
5,36.175,26.825,0.0918876,0.0926215
10,33.1167,26.475,0.0782692,0.0778544
15,41.4333,37.05,0.0661902,0.067836
20,48.6917,50.075,0.0621559,0.0631967
25,56.275,53.8,0.060169,0.0614537
30,57.2,55.275,0.0586528,0.059713
35,57.0167,55.6,0.0573296,0.0593925
40,56.3417,54.725,0.0555857,0.0592342
45,56.2,54.9,0.0540911,0.0590393
50,56.425,55.575,0.0532849,0.0590911
55,56.4833,55.075,0.0527492,0.0587972
60,56.825,55.425,0.0524108,0.0586929
65,56.9833,55.975,0.0520643,0.0586842
70,57.125,56.3,0.051796,0.058624
75,57.55,56.85,0.0515172,0.0585791
80,57.9583,56.825,0.0512922,0.0584342
85,58.075,57.025,0.0510839,0.0584526
90,58.4,57.075,0.050942,0.0580277
95,58.7333,57.2,0.05082,0.0573468
100,59.05,57.775,0.0506196,0.0571344
105,59.1333,58.125,0.050494,0.0566432
110,59.2833,58.375,0.0506213,0.0557426
115,59.6333,58.825,0.0503148,0.0554682
120,60.2333,59.275,0.0499256,0.054877
125,60.3333,60.15,0.0497649,0.0541411
130,60.7833,60.275,0.0497148,0.05357
135,61.2333,60.75,0.0496471,0.0529276
140,61.475,61.025,0.0496469,0.0527677
145,61.7833,61.725,0.0495754,0.0528048
150,62.1167,62.45,0.0495064,0.0528482

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 62.8 Validation Set MSE: 0.0500375
